book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tagalog_bigram_sim,bikol_bigram_sim,cebuano_bigram_sim,tagalog_trigram_sim,bikol_trigram_sim,cebuano_trigam_sim,grade_level
Aaloo-Maaloo-Kaaloo___Central_Bikol,174,22,1.857142857,5.022988506,7.909090909,2.224137931,3,0.367816092,2.224137931,1.827586207,1.494252874,0.850574713,0.275862069,0.247126437,0.109195402,0.229885057,0.034482759,0.005747126,0.723188406,0.771014493,0.747826087,0.308300395,0.341897233,0.316205534,1
Ang_Ladybird___Central_Bikol,148,16,1.142857143,4.635135135,9.25,1.912162162,1,0.506756757,1.912162162,1.655405405,1.398648649,0.844594595,0.452702703,0.351351351,0.209459459,0.351351351,0.101351351,0,0.684803002,0.696060038,0.701688555,0.202631579,0.25,0.202631579,1
Ang_Pag-arog_ni_Toto_sa_saiyang_Lolo___Central_Bikol-v12022.08.25T085616,108,15,0,4.564814815,7.2,2.009259259,0,0.268518519,2.009259259,1.805555556,1.314814815,0.861111111,0.240740741,0.194444444,0.12037037,0.175925926,0,0,0.614583333,0.627604167,0.619791667,0.276363636,0.32,0.305454545,1
Ang_Samuyang_Baka_na_Si_Pedro___Central_Bikol,79,12,1.083333333,4.696202532,6.583333333,1.974683544,3,0.506329114,1.974683544,1.797468354,1.303797468,0.886075949,0.430379747,0.367088608,0.17721519,0.430379747,0.025316456,0.012658228,0.602076125,0.674740484,0.598615917,0.207729469,0.241545894,0.173913043,1
Ano_ang_makangangalas_na_ginibo_ni_Ameena____Central_Bikol,101,23,1.2,4.623762376,4.391304348,2.099009901,4,0.415841584,2.099009901,1.623762376,1.306930693,0.633663366,0.366336634,0.217821782,0.158415842,0.297029703,0.079207921,0.00990099,0.645604396,0.664835165,0.653846154,0.295019157,0.314176245,0.283524904,1
Ano_ta_Dai_Nagtatalubo____Central_Bikol,181,15,2.818181818,4.817679558,12.06666667,1.994475138,1,0.342541436,1.994475138,1.73480663,1.44198895,0.906077348,0.309392265,0.254143646,0.154696133,0.226519337,0.049723757,0.022099448,0.607038123,0.658357771,0.618768328,0.24796748,0.329268293,0.231707317,1
An_Awit_nin_Duri-duri___Central_Bikol,240,67,1.619047619,5.079166667,3.582089552,2.158333333,11,0.479166667,2.158333333,1.720833333,1.454166667,0.8625,0.3375,0.216666667,0.2,0.3375,0.05,0.020833333,0.566878981,0.581740977,0.561571125,0.236090226,0.261654135,0.227067669,1
An_Bubuyog_asin_an_Elepante___Central_Bikol,90,18,1.416666667,4.555555556,5,1.9,0,0.4,1.9,1.633333333,1.433333333,0.777777778,0.344444444,0.288888889,0.066666667,0.133333333,0.011111111,0,0.653125,0.68125,0.703125,0.27826087,0.343478261,0.273913043,1
An_Ikus_asin_Ayam__Nyain_an_Ikus_____Central_Bikol,245,37,1.323529412,4.489795918,6.621621622,1.853061224,0,0.289795918,1.853061224,1.395918367,1.587755102,0.86122449,0.257142857,0.224489796,0.093877551,0.163265306,0.024489796,0.016326531,0.690023753,0.719714964,0.704275534,0.279109589,0.330479452,0.239726027,1
An_Kawat_ni_Mona_buda_Milo___Central_Bikol,74,11,1.166666667,4.662162162,6.727272727,1.959459459,0,0.513513514,1.959459459,1.72972973,1.351351351,1,0.391891892,0.351351351,0.202702703,0.364864865,0.135135135,0.013513514,0.674074074,0.718518519,0.681481481,0.251282051,0.328205128,0.230769231,1
An_Koneho_asin_Ayam___Central_Bikol-v12022.08.26T022028,198,22,1.363636364,4.803030303,9,2.070707071,4,0.419191919,2.070707071,1.646464646,1.565656566,0.868686869,0.343434343,0.237373737,0.186868687,0.287878788,0.045454545,0.01010101,0.633466135,0.637450199,0.61752988,0.216216216,0.263063063,0.14954955,1
An_Lion_Nagdadalagan_asin_an_Baka_Naglalakaw___Central_Bikol,46,11,1.6,5.760869565,4.181818182,2.195652174,4,0.695652174,2.195652174,1.695652174,1.891304348,1.086956522,0.630434783,0.5,0.391304348,0.434782609,0.065217391,0.043478261,0.617924528,0.636792453,0.636792453,0.242236025,0.354037267,0.242236025,1
An_Magayunun_na_Aldaw___Central_Bikol,191,27,1.541666667,4.162303665,7.074074074,1.842931937,3,0.256544503,1.842931937,1.581151832,1.240837696,0.743455497,0.214659686,0.157068063,0.120418848,0.188481675,0.02617801,0,0.696517413,0.703150912,0.679933665,0.253041363,0.223844282,0.182481752,1
An_Magbarkadang_Kasag_asin_Sira___Central_Bikol,268,17,1.823529412,4.873134328,15.76470588,1.932835821,8,0.619402985,1.932835821,1.5,1.5,0.876865672,0.473880597,0.302238806,0.257462687,0.384328358,0.119402985,0.026119403,0.536679537,0.53957529,0.504826255,0.159947984,0.215864759,0.124837451,1
An_Mahamis_na_Mansanas___Central_Bikol,165,22,1.888888889,4.793939394,7.5,1.987878788,0,0.393939394,1.987878788,1.690909091,1.484848485,0.878787879,0.363636364,0.296969697,0.163636364,0.260606061,0.054545455,0.018181818,0.688816856,0.713128039,0.677471637,0.282167043,0.316027088,0.270880361,1
An_Makaraw_na_Millipede___Central_Bikol,149,13,1.307692308,5.751677852,11.46153846,2.288590604,9,0.66442953,2.288590604,1.852348993,1.812080537,1.053691275,0.55704698,0.422818792,0.348993289,0.463087248,0.120805369,0.013422819,0.545454545,0.533910534,0.515151515,0.166979362,0.253283302,0.166979362,1
An_Nawawarang_Aking_Pato___Central_Bikol,96,14,1.230769231,5.1875,6.857142857,2.1875,4,0.40625,2.1875,1.875,1.760416667,1.010416667,0.34375,0.3125,0.135416667,0.177083333,0.010416667,0,0.77,0.7425,0.7425,0.331125828,0.374172185,0.32781457,1
An_Paglinig_sa_Hawak___Central_Bikol,239,25,1.16,4.815899582,9.56,2.050209205,6,0.439330544,2.050209205,1.531380753,1.489539749,0.761506276,0.380753138,0.292887029,0.171548117,0.255230126,0.071129707,0.020920502,0.634850166,0.682574917,0.633740289,0.232415902,0.357798165,0.252293578,1
AN_SADIT_NA_BITOON_NI_ALI___Central_Bikol,155,17,1.176470588,4.470967742,9.117647059,1.909677419,2,0.290322581,1.909677419,1.677419355,1.251612903,0.780645161,0.258064516,0.225806452,0.096774194,0.167741935,0.025806452,0.012903226,0.722641509,0.733962264,0.732075472,0.280653951,0.351498638,0.25613079,1
An_Sadit_na_Siyo_saka_an_Pato-pato___Central_Bikol-v12022.08.11T021900,500,34,1.363636364,5.27,14.70588235,2.15,26,0.582,2.15,1.894,1.644,1.014,0.464,0.348,0.266,0.424,0.094,0.01,0.653465347,0.650165017,0.635549269,0.210559006,0.255279503,0.198757764,1
An_Sadit_na_Ukay_Saka_An_Sira___Central_Bikol,117,15,1.454545455,4.41025641,7.8,1.863247863,2,0.358974359,1.863247863,1.555555556,1.367521368,0.794871795,0.264957265,0.213675214,0.136752137,0.273504274,0.017094017,0,0.67839196,0.708542714,0.680904523,0.239285714,0.275,0.228571429,1
An_sakong_Lawas___Central_Bikol,241,22,1.272727273,5.170124481,10.95454545,2.082987552,14,0.539419087,2.082987552,1.771784232,1.639004149,0.850622407,0.414937759,0.352697095,0.195020747,0.315352697,0.033195021,0.01659751,0.747219414,0.756319515,0.740141557,0.335607094,0.422919509,0.31787176,1
An_Sakong_mga_Tanum_na_Kaunon___Central_Bikol,380,41,1.1875,5.042105263,9.268292683,2.086842105,15,0.484210526,2.086842105,1.710526316,1.571052632,0.863157895,0.360526316,0.271052632,0.207894737,0.305263158,0.065789474,0.015789474,0.631994733,0.64516129,0.618828176,0.239111111,0.306666667,0.24,1
An_Samuyang_Pamilya___Central_Bikol-v12022.08.11T022308,136,13,1.272727273,5.397058824,10.46153846,2.125,6,0.691176471,2.125,1.757352941,1.727941176,0.985294118,0.522058824,0.382352941,0.294117647,0.404411765,0.080882353,0.007352941,0.551839465,0.546822742,0.528428094,0.148706897,0.256465517,0.204741379,1
An_Sarung_Dakulang_Keyk___Central_Bikol,88,12,1.307692308,4.477272727,7.333333333,1.795454545,0,0.318181818,1.795454545,1.670454545,1.329545455,0.875,0.306818182,0.284090909,0.034090909,0.056818182,0.011363636,0,0.650165017,0.699669967,0.630363036,0.240566038,0.41509434,0.20754717,1
An_Tulong_Saradit_na_Kuting___Central_Bikol,119,25,1.066666667,5.478991597,4.76,2.134453782,2,0.521008403,2.134453782,1.915966387,1.831932773,1.12605042,0.495798319,0.43697479,0.193277311,0.243697479,0.058823529,0.033613445,0.746666667,0.779047619,0.733333333,0.309045226,0.369346734,0.233668342,1
An_Turtle_Dove___Central_Bikol,56,8,1.111111111,5.178571429,7,2.071428571,5,0.428571429,2.071428571,1.946428571,1.267857143,0.964285714,0.375,0.339285714,0.142857143,0.321428571,0.035714286,0.017857143,0.441048035,0.462882096,0.449781659,0.220238095,0.25,0.196428571,1
