book_title,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,grade_level
Aaloo-Maaloo-Kaaloo___Central_Bikol,0.367816091954023,2.2241379310344827,1.8275862068965518,1.4942528735632183,0.8505747126436781,0.27586206896551724,0.2471264367816092,0.10919540229885058,0.22988505747126436,0.034482758620689655,0.005747126436781609,1
Ang_Ladybird___Central_Bikol,0.5067567567567568,1.912162162162162,1.6554054054054055,1.3986486486486487,0.8445945945945946,0.4527027027027027,0.35135135135135137,0.20945945945945946,0.35135135135135137,0.10135135135135136,0.0,1
Ang_Pag-arog_ni_Toto_sa_saiyang_Lolo___Central_Bikol-v12022.08.25T085616,0.26851851851851855,2.009259259259259,1.8055555555555556,1.3148148148148149,0.8611111111111112,0.24074074074074073,0.19444444444444445,0.12037037037037036,0.17592592592592593,0.0,0.0,1
Ang_Samuyang_Baka_na_Si_Pedro___Central_Bikol,0.5063291139240507,1.9746835443037976,1.7974683544303798,1.3037974683544304,0.8860759493670886,0.43037974683544306,0.3670886075949367,0.17721518987341772,0.43037974683544306,0.02531645569620253,0.012658227848101266,1
Ano_ang_makangangalas_na_ginibo_ni_Ameena____Central_Bikol,0.4158415841584158,2.099009900990099,1.6237623762376239,1.306930693069307,0.6336633663366337,0.36633663366336633,0.21782178217821782,0.15841584158415842,0.297029702970297,0.07920792079207921,0.009900990099009901,1
Ano_ta_Dai_Nagtatalubo____Central_Bikol,0.3425414364640884,1.9944751381215469,1.7348066298342542,1.441988950276243,0.9060773480662984,0.30939226519337015,0.2541436464088398,0.15469613259668508,0.2265193370165746,0.049723756906077346,0.022099447513812154,1
An_Awit_nin_Duri-duri___Central_Bikol,0.4791666666666667,2.158333333333333,1.7208333333333334,1.4541666666666666,0.8625,0.3375,0.21666666666666667,0.2,0.3375,0.05,0.020833333333333332,1
An_Bubuyog_asin_an_Elepante___Central_Bikol,0.4,1.9,1.6333333333333333,1.4333333333333333,0.7777777777777778,0.34444444444444444,0.28888888888888886,0.06666666666666667,0.13333333333333333,0.011111111111111112,0.0,1
An_Ikus_asin_Ayam__Nyain_an_Ikus_____Central_Bikol,0.2897959183673469,1.853061224489796,1.3959183673469389,1.5877551020408163,0.8612244897959184,0.2571428571428571,0.22448979591836735,0.09387755102040816,0.16326530612244897,0.024489795918367346,0.0163265306122449,1
An_Kawat_ni_Mona_buda_Milo___Central_Bikol,0.5135135135135135,1.9594594594594594,1.7297297297297298,1.3513513513513513,1.0,0.3918918918918919,0.35135135135135137,0.20270270270270271,0.36486486486486486,0.13513513513513514,0.013513513513513514,1
An_Koneho_asin_Ayam___Central_Bikol-v12022.08.26T022028,0.41919191919191917,2.0707070707070705,1.6464646464646464,1.5656565656565657,0.8686868686868687,0.3434343434343434,0.23737373737373738,0.18686868686868688,0.2878787878787879,0.045454545454545456,0.010101010101010102,1
An_Lion_Nagdadalagan_asin_an_Baka_Naglalakaw___Central_Bikol,0.6956521739130435,2.1956521739130435,1.6956521739130435,1.891304347826087,1.0869565217391304,0.6304347826086957,0.5,0.391304347826087,0.43478260869565216,0.06521739130434782,0.043478260869565216,1
An_Magayunun_na_Aldaw___Central_Bikol,0.25654450261780104,1.8429319371727748,1.581151832460733,1.2408376963350785,0.743455497382199,0.21465968586387435,0.15706806282722513,0.12041884816753927,0.18848167539267016,0.02617801047120419,0.0,1
An_Magbarkadang_Kasag_asin_Sira___Central_Bikol,0.6194029850746269,1.9328358208955223,1.5,1.5,0.8768656716417911,0.47388059701492535,0.30223880597014924,0.2574626865671642,0.3843283582089552,0.11940298507462686,0.026119402985074626,1
An_Mahamis_na_Mansanas___Central_Bikol,0.3939393939393939,1.9878787878787878,1.690909090909091,1.4848484848484849,0.8787878787878788,0.36363636363636365,0.296969696969697,0.16363636363636364,0.2606060606060606,0.05454545454545454,0.01818181818181818,1
