book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,grade_level
Aaloo-Maaloo-Kaaloo___Central_Bikol,174,22,1.8571428571428572,5.022988505747127,7.909090909090909,2.2241379310344827,3,1
Ang_Ladybird___Central_Bikol,148,16,1.1428571428571428,4.635135135135135,9.25,1.912162162162162,1,1
Ang_Pag-arog_ni_Toto_sa_saiyang_Lolo___Central_Bikol-v12022.08.25T085616,108,15,0.0,4.564814814814815,7.2,2.009259259259259,0,1
Ang_Samuyang_Baka_na_Si_Pedro___Central_Bikol,79,12,1.0833333333333333,4.69620253164557,6.583333333333333,1.9746835443037976,3,1
Ano_ang_makangangalas_na_ginibo_ni_Ameena____Central_Bikol,101,23,1.2,4.623762376237623,4.391304347826087,2.099009900990099,4,1
Ano_ta_Dai_Nagtatalubo____Central_Bikol,181,15,2.8181818181818183,4.81767955801105,12.066666666666666,1.9944751381215469,1,1
An_Awit_nin_Duri-duri___Central_Bikol,240,67,1.619047619047619,5.079166666666667,3.582089552238806,2.158333333333333,11,1
An_Bubuyog_asin_an_Elepante___Central_Bikol,90,18,1.4166666666666667,4.555555555555555,5.0,1.9,0,1
An_Ikus_asin_Ayam__Nyain_an_Ikus_____Central_Bikol,245,37,1.3235294117647058,4.489795918367347,6.621621621621622,1.853061224489796,0,1
An_Kawat_ni_Mona_buda_Milo___Central_Bikol,74,11,1.1666666666666667,4.662162162162162,6.7272727272727275,1.9594594594594594,0,1
An_Koneho_asin_Ayam___Central_Bikol-v12022.08.26T022028,198,22,1.3636363636363635,4.803030303030303,9.0,2.0707070707070705,4,1
An_Lion_Nagdadalagan_asin_an_Baka_Naglalakaw___Central_Bikol,46,11,1.6,5.760869565217392,4.181818181818182,2.1956521739130435,4,1
An_Magayunun_na_Aldaw___Central_Bikol,191,27,1.5416666666666667,4.162303664921466,7.074074074074074,1.8429319371727748,3,1
An_Magbarkadang_Kasag_asin_Sira___Central_Bikol,268,17,1.8235294117647058,4.873134328358209,15.764705882352942,1.9328358208955223,8,1
