book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tagalog_bigram_sim,bikol_bigram_sim,cebuano_bigram_sim,tagalog_trigram_sim,bikol_trigram_sim,cebuano_trigam_sim,grade_level
Akong Higala,95,22,0,4.757894737,4.318181818,2.157894737,0,0.284210526,2.157894737,1.873684211,1.473684211,0.873684211,0.252631579,0.157894737,0.136842105,0.189473684,0.010526316,0,0.698275862,0.681034483,0.706896552,0.304878049,0.215447154,0.280487805,1
Alibangbang ug Kalaw,40,7,0,5.4,5.714285714,2.05,2,0.65,2.05,1.8,1.825,1.05,0.65,0.375,0.15,0.225,0.15,0.025,0.75,0.761363636,0.761363636,0.367647059,0.330882353,0.338235294,1
Amigo Kong Piso,52,13,0,4.75,4,2.153846154,0,0.269230769,2.153846154,1.826923077,1.538461538,0.980769231,0.230769231,0.211538462,0.153846154,0.173076923,0.019230769,0,0.618556701,0.597938144,0.618556701,0.246478873,0.197183099,0.253521127,1
An Akon Pamilya,70,12,0,4.842857143,5.833333333,2.142857143,1,0.285714286,2.142857143,1.785714286,1.685714286,1,0.228571429,0.228571429,0.185714286,0.242857143,0,0,0.743494424,0.713754647,0.732342007,0.32160804,0.281407035,0.336683417,1
Ang  Paypay ni Pipay,29,6,0,4.620689655,4.833333333,1.931034483,0,0.310344828,1.931034483,1.689655172,1.482758621,0.827586207,0.275862069,0.172413793,0.172413793,0.206896552,0,0,0.59047619,0.60952381,0.619047619,0.142857143,0.116883117,0.207792208,1
Ang Adlaw,83,22,1.043478261,5.168674699,3.772727273,2.313253012,3,0.337349398,2.313253012,1.987951807,1.734939759,0.975903614,0.301204819,0.21686747,0.192771084,0.277108434,0.012048193,0,0.736842105,0.769005848,0.798245614,0.33203125,0.296875,0.3515625,1
Ang Akong Alkansiya,28,6,0,4.821428571,4.666666667,2.107142857,0,0.5,2.107142857,1.678571429,1.5,0.892857143,0.5,0.25,0.214285714,0.357142857,0.107142857,0,0.716981132,0.679245283,0.735849057,0.278481013,0.240506329,0.35443038,1
Ang Akong Dulaan,56,10,0,4.589285714,5.6,2.053571429,0,0.339285714,2.053571429,1.553571429,1.517857143,0.75,0.267857143,0.196428571,0.107142857,0.142857143,0.035714286,0,0.625,0.575,0.68,0.268965517,0.262068966,0.337931034,1
Ang Akong Higala,49,5,1.333333333,5.163265306,9.8,2.224489796,2,0.469387755,2.224489796,1.795918367,1.734693878,0.959183673,0.408163265,0.285714286,0.102040816,0.204081633,0.040816327,0,0.665024631,0.679802956,0.689655172,0.303225806,0.303225806,0.361290323,1
Ang Akong Suod Nga Amigo,83,13,0,4.409638554,6.384615385,2.012048193,0,0.337349398,2.012048193,1.578313253,1.34939759,0.759036145,0.240963855,0.180722892,0.156626506,0.204819277,0.024096386,0.012048193,0.667844523,0.674911661,0.667844523,0.293532338,0.213930348,0.298507463,1
Ang Among Pamilya,116,23,1.130434783,5.00862069,5.043478261,2.120689655,2,0.456896552,2.120689655,1.775862069,1.689655172,0.982758621,0.405172414,0.284482759,0.181034483,0.293103448,0.00862069,0,0.713043478,0.682608696,0.756521739,0.292035398,0.230088496,0.315634218,1
Ang Anak ug Amahan,82,14,0,4.817073171,5.857142857,2.158536585,1,0.353658537,2.158536585,1.756097561,1.62195122,0.865853659,0.329268293,0.195121951,0.12195122,0.207317073,0.06097561,0.012195122,0.672025723,0.681672026,0.707395498,0.301310044,0.222707424,0.362445415,1
Ang Baka,112,11,1.090909091,4.3125,10.18181818,1.830357143,0,0.419642857,1.830357143,1.607142857,1.223214286,0.803571429,0.303571429,0.205357143,0.142857143,0.267857143,0,0,0.632432432,0.67027027,0.659459459,0.297297297,0.239382239,0.32046332,1
Ang Baki,104,12,0,4.903846154,8.666666667,2.086538462,4,0.490384615,2.086538462,1.798076923,1.403846154,0.865384615,0.336538462,0.259615385,0.240384615,0.423076923,0.038461538,0,0.602977667,0.612903226,0.64516129,0.31,0.243333333,0.35,1
Ang Bangaw,49,9,0,5.081632653,5.444444444,2.06122449,0,0.510204082,2.06122449,1.734693878,1.755102041,1.020408163,0.428571429,0.244897959,0.204081633,0.285714286,0.020408163,0,0.592964824,0.572864322,0.618090452,0.233333333,0.226666667,0.246666667,1
Ang Bao,32,7,0,4.6875,4.571428571,2.21875,0,0.3125,2.21875,1.78125,1.4375,0.78125,0.28125,0.09375,0.125,0.1875,0,0,0.661016949,0.610169492,0.686440678,0.264367816,0.149425287,0.264367816,1
Ang Bato,31,8,0,5.064516129,3.875,2.35483871,0,0.35483871,2.35483871,1.935483871,1.580645161,0.870967742,0.35483871,0.096774194,0.129032258,0.258064516,0.096774194,0.032258065,0.682539683,0.626984127,0.658730159,0.1875,0.197916667,0.291666667,1
Ang Birthday ni Jennilyn,54,9,1.2,5.444444444,6,2.203703704,3,0.518518519,2.203703704,2.018518519,1.685185185,1.074074074,0.444444444,0.333333333,0.240740741,0.277777778,0.092592593,0.074074074,0.676470588,0.676470588,0.710084034,0.224043716,0.191256831,0.256830601,1
Ang Bitoon,67,9,1.333333333,4.432835821,7.444444444,2.044776119,0,0.328358209,2.044776119,1.567164179,1.328358209,0.656716418,0.223880597,0.104477612,0.059701493,0.164179104,0,0,0.752173913,0.656521739,0.752173913,0.31097561,0.164634146,0.341463415,1
Ang Bola ni Mila,47,7,0,4.446808511,6.714285714,2,1,0.29787234,2,1.765957447,1.340425532,0.872340426,0.234042553,0.14893617,0.127659574,0.170212766,0.021276596,0,0.74691358,0.709876543,0.759259259,0.330434783,0.226086957,0.373913043,1
Ang Buhok,34,7,1.125,4.058823529,4.857142857,1.852941176,0,0.147058824,1.852941176,1.558823529,1.235294118,0.705882353,0.088235294,0.029411765,0.029411765,0.117647059,0.029411765,0,0.495145631,0.495145631,0.553398058,0.144927536,0.101449275,0.173913043,1
Ang Bulak nga Santan,40,7,1.25,4.25,5.714285714,1.75,0,0.35,1.75,1.525,1.25,0.775,0.225,0.2,0.175,0.3,0.025,0,0.584615385,0.576923077,0.669230769,0.22826087,0.152173913,0.293478261,1
Ang Celfon ni Niña,60,10,0,4.166666667,6,1.9,0,0.25,1.9,1.65,1.116666667,0.683333333,0.216666667,0.116666667,0.1,0.15,0.016666667,0,0.704301075,0.73655914,0.720430108,0.301587302,0.238095238,0.325396825,1
Ang Dagat,32,6,0,4.8125,5.333333333,2.125,0,0.4375,2.125,1.6875,1.59375,0.84375,0.4375,0.15625,0.125,0.21875,0.03125,0,0.672131148,0.680327869,0.696721311,0.266666667,0.222222222,0.277777778,1
Ang Dala ni Almaug Mama,31,6,0,4.290322581,5.166666667,2.096774194,0,0.193548387,2.096774194,1.709677419,1.258064516,0.709677419,0.193548387,0.064516129,0.032258065,0.161290323,0,0,0.705882353,0.676470588,0.735294118,0.253521127,0.225352113,0.281690141,1
Ang Dalunggan,79,18,1.052631579,5.518987342,4.388888889,2.291139241,0,0.53164557,2.291139241,2.088607595,1.746835443,1.126582278,0.443037975,0.341772152,0.291139241,0.430379747,0.050632911,0,0.647887324,0.61971831,0.656338028,0.181818182,0.185454545,0.236363636,1
Ang French Fries,60,11,0,4.766666667,5.454545455,2.033333333,0,0.466666667,2.033333333,1.666666667,1.416666667,0.8,0.333333333,0.233333333,0.116666667,0.25,0.05,0.033333333,0.497777778,0.475555556,0.555555556,0.175757576,0.175757576,0.175757576,1
Ang Gasa ni Mama,43,8,0,4.186046512,5.375,1.790697674,0,0.302325581,1.790697674,1.488372093,1.23255814,0.76744186,0.255813953,0.139534884,0.162790698,0.186046512,0,0,0.580882353,0.580882353,0.610294118,0.204301075,0.193548387,0.23655914,1
Ang Gasa,29,6,0,4.448275862,4.833333333,1.896551724,0,0.448275862,1.896551724,1.620689655,1.344827586,0.827586207,0.379310345,0.172413793,0.172413793,0.24137931,0.034482759,0,0.62,0.61,0.64,0.222222222,0.194444444,0.263888889,1
Ang Gatas sa Lata,31,6,0,4.161290323,5.166666667,1.806451613,0,0.225806452,1.806451613,1.580645161,1.290322581,0.774193548,0.193548387,0.064516129,0.064516129,0.064516129,0.032258065,0,0.734693878,0.714285714,0.755102041,0.28358209,0.23880597,0.28358209,1
Ang Hardin Ni Balaraw,228,15,1.5625,4.907894737,15.2,2.092105263,9,0.447368421,2.092105263,1.824561404,1.513157895,0.855263158,0.324561404,0.24122807,0.184210526,0.342105263,0.021929825,0,0.683146067,0.698876404,0.715730337,0.250755287,0.238670695,0.296072508,1
Ang Hardin Ni Hannah,120,18,0,4.466666667,6.666666667,1.891666667,1,0.383333333,1.891666667,1.633333333,1.391666667,0.808333333,0.275,0.2,0.15,0.258333333,0,0,0.722222222,0.712560386,0.765700483,0.285234899,0.224832215,0.342281879,1
Ang Hardin Ni Susan,108,11,1.166666667,4.694444444,9.818181818,2.064814815,1,0.435185185,2.064814815,1.740740741,1.398148148,0.796296296,0.287037037,0.222222222,0.157407407,0.361111111,0.027777778,0,0.626566416,0.636591479,0.691729323,0.307167235,0.276450512,0.351535836,1
Ang Hiniktan ni Islaw,68,11,1.083333333,4.838235294,6.181818182,2.176470588,3,0.382352941,2.176470588,1.735294118,1.588235294,0.823529412,0.264705882,0.132352941,0.176470588,0.294117647,0.014705882,0,0.762645914,0.758754864,0.758754864,0.308108108,0.264864865,0.356756757,1
Ang Iring ni Ling,38,9,0,4.210526316,4.222222222,1.657894737,0,0.526315789,1.657894737,1.315789474,1.315789474,0.789473684,0.473684211,0.342105263,0.105263158,0.131578947,0.026315789,0,0.647540984,0.581967213,0.655737705,0.305882353,0.282352941,0.317647059,1
Ang Iring ni Luming,61,16,0,4.852459016,3.8125,2.016393443,0,0.540983607,2.016393443,1.573770492,1.655737705,0.836065574,0.524590164,0.37704918,0.049180328,0.098360656,0.016393443,0,0.659574468,0.595744681,0.634042553,0.270114943,0.24137931,0.281609195,1
Ang Iro ni Pedro,88,14,0,4.545454545,6.285714286,2.034090909,0,0.386363636,2.034090909,1.625,1.443181818,0.704545455,0.318181818,0.193181818,0.102272727,0.227272727,0.034090909,0.011363636,0.729032258,0.748387097,0.751612903,0.389140271,0.285067873,0.380090498,1
Ang Itoy ni Ikoy,57,10,1.090909091,4.210526316,5.7,1.929824561,1,0.280701754,1.929824561,1.333333333,1.438596491,0.666666667,0.210526316,0.070175439,0.070175439,0.105263158,0.01754386,0,0.699453552,0.628415301,0.721311475,0.277777778,0.222222222,0.26984127,1
Ang Kabaw nga si Kulas,39,8,0,4.358974359,4.875,1.820512821,0,0.307692308,1.820512821,1.58974359,1.41025641,0.794871795,0.230769231,0.102564103,0.128205128,0.153846154,0.025641026,0,0.679389313,0.702290076,0.72519084,0.268817204,0.225806452,0.290322581,1
Ang Kabaw ni lolo,33,7,0,4.393939394,4.714285714,1.939393939,0,0.303030303,1.939393939,1.636363636,1.363636364,0.787878788,0.242424242,0.121212121,0.121212121,0.181818182,0.03030303,0,0.580357143,0.625,0.589285714,0.2,0.1625,0.225,1
Ang Kaka ni Katkat,23,4,0,4.608695652,5.75,1.913043478,0,0.434782609,1.913043478,1.695652174,1.391304348,1,0.347826087,0.217391304,0.304347826,0.304347826,0.043478261,0,0.65060241,0.626506024,0.674698795,0.180327869,0.147540984,0.327868852,1
