book_title,tagalog_bigram_sim,bikol_bigram_sim,cebuano_bigram_sim,tagalog_trigram_sim,bikol_trigram_sim,cebuano_trigam_sim,grade_level
Akong Higala,0.6896551724137931,0.6350574712643678,0.6666666666666666,0.6341463414634146,0.5528455284552846,0.7723577235772358,1
Alibangbang ug Kalaw,0.7443181818181818,0.7613636363636364,0.75,0.6911764705882353,0.7058823529411765,0.625,1
Amigo Kong Piso,0.6082474226804123,0.5567010309278351,0.5773195876288659,0.5492957746478874,0.5140845070422535,0.6549295774647887,1
An Akon Pamilya,0.7323420074349443,0.6728624535315985,0.7137546468401487,0.7085427135678392,0.6130653266331658,0.7336683417085427,1
Ang  Paypay ni Pipay,0.5904761904761905,0.580952380952381,0.5904761904761905,0.4155844155844156,0.2597402597402597,0.6753246753246753,1
Ang Adlaw,0.7222222222222222,0.7251461988304093,0.7777777777777778,0.73828125,0.65234375,0.87890625,1
Ang Akong Alkansiya,0.6981132075471698,0.6226415094339622,0.7075471698113207,0.5949367088607594,0.4430379746835443,0.6582278481012658,1
Ang Akong Dulaan,0.605,0.545,0.645,0.5724137931034483,0.5448275862068965,0.6896551724137931,1
Ang Akong Higala,0.6551724137931034,0.5862068965517241,0.6748768472906403,0.6516129032258065,0.5548387096774193,0.7290322580645161,1
Ang Akong Suod Nga Amigo,0.6678445229681979,0.6360424028268551,0.6466431095406361,0.6069651741293532,0.5522388059701493,0.6915422885572139,1
Ang Among Pamilya,0.7043478260869566,0.6630434782608695,0.7304347826086957,0.6489675516224189,0.5722713864306784,0.7286135693215339,1
Ang Anak ug Amahan,0.6688102893890675,0.6205787781350482,0.6784565916398714,0.6026200873362445,0.5633187772925764,0.6550218340611353,1
Ang Baka,0.6189189189189189,0.5702702702702702,0.6432432432432432,0.5405405405405406,0.46332046332046334,0.6023166023166023,1
Ang Baki,0.5806451612903226,0.5707196029776674,0.6277915632754343,0.5566666666666666,0.5233333333333333,0.64,1
Ang Bangaw,0.5678391959798995,0.5527638190954773,0.5728643216080402,0.5666666666666667,0.54,0.64,1
Ang Bao,0.6610169491525424,0.559322033898305,0.6610169491525424,0.5287356321839081,0.4367816091954023,0.6666666666666666,1
Ang Bato,0.6428571428571429,0.5873015873015873,0.6428571428571429,0.53125,0.5,0.7291666666666666,1
Ang Birthday ni Jennilyn,0.6680672268907563,0.6386554621848739,0.6848739495798319,0.5519125683060109,0.5081967213114754,0.6502732240437158,1
Ang Bitoon,0.7086956521739131,0.6434782608695652,0.7260869565217392,0.5914634146341463,0.49390243902439024,0.5975609756097561,1
Ang Bola ni Mila,0.7345679012345679,0.654320987654321,0.7407407407407407,0.6608695652173913,0.591304347826087,0.7739130434782608,1
Ang Buhok,0.4854368932038835,0.44660194174757284,0.4854368932038835,0.4492753623188406,0.34782608695652173,0.5217391304347826,1
Ang Bulak nga Santan,0.5692307692307692,0.5461538461538461,0.6,0.5434782608695652,0.5434782608695652,0.6956521739130435,1
Ang Celfon ni Niña,0.7043010752688172,0.6559139784946236,0.6989247311827957,0.5793650793650794,0.46825396825396826,0.6825396825396826,1
Ang Dagat,0.6721311475409836,0.639344262295082,0.6639344262295082,0.6444444444444445,0.4888888888888889,0.6777777777777778,1
Ang Dala ni Almaug Mama,0.7058823529411765,0.6568627450980392,0.7058823529411765,0.6056338028169014,0.4788732394366197,0.7746478873239436,1
Ang Dalunggan,0.6309859154929578,0.5830985915492958,0.6309859154929578,0.6036363636363636,0.5381818181818182,0.6363636363636364,1
Ang French Fries,0.4888888888888889,0.4311111111111111,0.5155555555555555,0.43636363636363634,0.4121212121212121,0.5818181818181818,1
Ang Gasa ni Mama,0.5588235294117647,0.5367647058823529,0.5808823529411765,0.4838709677419355,0.3978494623655914,0.6129032258064516,1
Ang Gasa,0.6,0.59,0.59,0.4861111111111111,0.375,0.5694444444444444,1
Ang Gatas sa Lata,0.7346938775510204,0.7142857142857143,0.7346938775510204,0.6865671641791045,0.5074626865671642,0.7164179104477612,1
Ang Hardin Ni Balaraw,0.6730337078651686,0.6528089887640449,0.697752808988764,0.648036253776435,0.540785498489426,0.6329305135951662,1
Ang Hardin Ni Hannah,0.714975845410628,0.6618357487922706,0.7077294685990339,0.6308724832214765,0.5234899328859061,0.7416107382550335,1
Ang Hardin Ni Susan,0.6115288220551378,0.5714285714285714,0.6591478696741855,0.6177474402730375,0.5767918088737202,0.7235494880546075,1
Ang Hiniktan ni Islaw,0.7392996108949417,0.6614785992217899,0.7431906614785992,0.6648648648648648,0.5621621621621622,0.7351351351351352,1
Ang Iring ni Ling,0.6475409836065574,0.5655737704918032,0.6311475409836066,0.6588235294117647,0.6235294117647059,0.8117647058823529,1
Ang Iring ni Luming,0.6425531914893617,0.5404255319148936,0.6042553191489362,0.6954022988505747,0.5977011494252874,0.7528735632183908,1
Ang Iro ni Pedro,0.7225806451612903,0.7129032258064516,0.7387096774193549,0.6877828054298643,0.6380090497737556,0.7828054298642534,1
Ang Itoy ni Ikoy,0.6885245901639344,0.6120218579234973,0.6994535519125683,0.5634920634920635,0.5714285714285714,0.6904761904761905,1
Ang Kabaw nga si Kulas,0.6793893129770993,0.6717557251908397,0.6870229007633588,0.5698924731182796,0.5161290322580645,0.7096774193548387,1
Ang Kabaw ni lolo,0.5803571428571429,0.5178571428571429,0.5714285714285714,0.4375,0.35,0.5875,1
Ang Kaka ni Katkat,0.6506024096385542,0.6265060240963856,0.6506024096385542,0.5245901639344263,0.4918032786885246,0.6721311475409836,1
Ang Kaka ni Tata,0.775,0.75,0.7625,0.7454545454545455,0.6545454545454545,0.8727272727272727,1
Ang Kaka,0.6875,0.6517857142857143,0.6964285714285714,0.5263157894736842,0.47368421052631576,0.6973684210526315,1
Ang Kalikupan,0.6484018264840182,0.6210045662100456,0.6757990867579908,0.591715976331361,0.5621301775147929,0.7337278106508875,1
Ang Kalo ni Karlo,0.54421768707483,0.5102040816326531,0.5510204081632653,0.49523809523809526,0.4,0.638095238095238,1
Ang Kama ni Mama ug Makmak,0.7469879518072289,0.7349397590361446,0.7469879518072289,0.7017543859649122,0.543859649122807,0.7543859649122807,1
Ang kama,0.7840909090909091,0.7727272727272727,0.7840909090909091,0.6779661016949152,0.5932203389830508,0.8135593220338984,1
Ang Kamot ni Momay,0.5625,0.5625,0.5535714285714286,0.3684210526315789,0.4473684210526316,0.7368421052631579,1
Ang Kanding ni Karding,0.6168831168831169,0.5909090909090909,0.6623376623376623,0.559322033898305,0.423728813559322,0.6440677966101694,1
Ang Kanding Ni Pedro,0.6761363636363636,0.6534090909090909,0.7007575757575758,0.6410256410256411,0.5692307692307692,0.6871794871794872,1
Ang Kanta ni Anta,0.7142857142857143,0.6306620209059234,0.7282229965156795,0.7102803738317757,0.6728971962616822,0.8037383177570093,1
Ang kilay ni Kentoy,0.575107296137339,0.5064377682403434,0.5965665236051502,0.5238095238095238,0.47619047619047616,0.6011904761904762,1
