book_title,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,grade_level
Akong Higala,0.28421052631578947,2.1578947368421053,1.8736842105263158,1.4736842105263157,0.8736842105263158,0.25263157894736843,0.15789473684210525,0.1368421052631579,0.18947368421052632,0.010526315789473684,0.0,1
Alibangbang ug Kalaw,0.65,2.05,1.8,1.825,1.05,0.65,0.375,0.15,0.225,0.15,0.025,1
Amigo Kong Piso,0.2692307692307692,2.1538461538461537,1.8269230769230769,1.5384615384615385,0.9807692307692307,0.23076923076923078,0.21153846153846154,0.15384615384615385,0.17307692307692307,0.019230769230769232,0.0,1
An Akon Pamilya,0.2857142857142857,2.142857142857143,1.7857142857142858,1.6857142857142857,1.0,0.22857142857142856,0.22857142857142856,0.18571428571428572,0.24285714285714285,0.0,0.0,1
Ang  Paypay ni Pipay,0.3103448275862069,1.9310344827586208,1.6896551724137931,1.4827586206896552,0.8275862068965517,0.27586206896551724,0.1724137931034483,0.1724137931034483,0.20689655172413793,0.0,0.0,1
Ang Adlaw,0.3373493975903614,2.3132530120481927,1.9879518072289157,1.7349397590361446,0.9759036144578314,0.30120481927710846,0.21686746987951808,0.1927710843373494,0.27710843373493976,0.012048192771084338,0.0,1
Ang Akong Alkansiya,0.5,2.107142857142857,1.6785714285714286,1.5,0.8928571428571429,0.5,0.25,0.21428571428571427,0.35714285714285715,0.10714285714285714,0.0,1
Ang Akong Dulaan,0.3392857142857143,2.0535714285714284,1.5535714285714286,1.5178571428571428,0.75,0.26785714285714285,0.19642857142857142,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.0,1
Ang Akong Higala,0.46938775510204084,2.2244897959183674,1.7959183673469388,1.7346938775510203,0.9591836734693877,0.40816326530612246,0.2857142857142857,0.10204081632653061,0.20408163265306123,0.04081632653061224,0.0,1
Ang Akong Suod Nga Amigo,0.3373493975903614,2.0120481927710845,1.5783132530120483,1.3493975903614457,0.7590361445783133,0.24096385542168675,0.18072289156626506,0.1566265060240964,0.20481927710843373,0.024096385542168676,0.012048192771084338,1
Ang Among Pamilya,0.45689655172413796,2.1206896551724137,1.7758620689655173,1.6896551724137931,0.9827586206896551,0.4051724137931034,0.28448275862068967,0.1810344827586207,0.29310344827586204,0.008620689655172414,0.0,1
Ang Anak ug Amahan,0.35365853658536583,2.158536585365854,1.7560975609756098,1.6219512195121952,0.8658536585365854,0.32926829268292684,0.1951219512195122,0.12195121951219512,0.2073170731707317,0.06097560975609756,0.012195121951219513,1
Ang Baka,0.41964285714285715,1.8303571428571428,1.6071428571428572,1.2232142857142858,0.8035714285714286,0.30357142857142855,0.20535714285714285,0.14285714285714285,0.26785714285714285,0.0,0.0,1
Ang Baki,0.49038461538461536,2.0865384615384617,1.7980769230769231,1.4038461538461537,0.8653846153846154,0.33653846153846156,0.25961538461538464,0.2403846153846154,0.4230769230769231,0.038461538461538464,0.0,1
Ang Bangaw,0.5102040816326531,2.061224489795918,1.7346938775510203,1.7551020408163265,1.0204081632653061,0.42857142857142855,0.24489795918367346,0.20408163265306123,0.2857142857142857,0.02040816326530612,0.0,1
Ang Bao,0.3125,2.21875,1.78125,1.4375,0.78125,0.28125,0.09375,0.125,0.1875,0.0,0.0,1
Ang Bato,0.3548387096774194,2.3548387096774195,1.935483870967742,1.5806451612903225,0.8709677419354839,0.3548387096774194,0.0967741935483871,0.12903225806451613,0.25806451612903225,0.0967741935483871,0.03225806451612903,1
Ang Birthday ni Jennilyn,0.5185185185185185,2.2037037037037037,2.0185185185185186,1.6851851851851851,1.0740740740740742,0.4444444444444444,0.3333333333333333,0.24074074074074073,0.2777777777777778,0.09259259259259259,0.07407407407407407,1
Ang Bitoon,0.3283582089552239,2.044776119402985,1.5671641791044777,1.328358208955224,0.6567164179104478,0.22388059701492538,0.1044776119402985,0.05970149253731343,0.16417910447761194,0.0,0.0,1
Ang Bola ni Mila,0.2978723404255319,2.0,1.7659574468085106,1.3404255319148937,0.8723404255319149,0.23404255319148937,0.14893617021276595,0.1276595744680851,0.1702127659574468,0.02127659574468085,0.0,1
Ang Buhok,0.14705882352941177,1.8529411764705883,1.5588235294117647,1.2352941176470589,0.7058823529411765,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.029411764705882353,0.0,1
Ang Bulak nga Santan,0.35,1.75,1.525,1.25,0.775,0.225,0.2,0.175,0.3,0.025,0.0,1
Ang Celfon ni Niña,0.25,1.9,1.65,1.1166666666666667,0.6833333333333333,0.21666666666666667,0.11666666666666667,0.1,0.15,0.016666666666666666,0.0,1
Ang Dagat,0.4375,2.125,1.6875,1.59375,0.84375,0.4375,0.15625,0.125,0.21875,0.03125,0.0,1
Ang Dala ni Almaug Mama,0.1935483870967742,2.096774193548387,1.7096774193548387,1.2580645161290323,0.7096774193548387,0.1935483870967742,0.06451612903225806,0.03225806451612903,0.16129032258064516,0.0,0.0,1
Ang Dalunggan,0.5316455696202531,2.2911392405063293,2.088607594936709,1.7468354430379747,1.1265822784810127,0.4430379746835443,0.34177215189873417,0.2911392405063291,0.43037974683544306,0.05063291139240506,0.0,1
Ang French Fries,0.4666666666666667,2.033333333333333,1.6666666666666667,1.4166666666666667,0.8,0.3333333333333333,0.23333333333333334,0.11666666666666667,0.25,0.05,0.03333333333333333,1
Ang Gasa ni Mama,0.3023255813953488,1.7906976744186047,1.4883720930232558,1.2325581395348837,0.7674418604651163,0.2558139534883721,0.13953488372093023,0.16279069767441862,0.18604651162790697,0.0,0.0,1
Ang Gasa,0.4482758620689655,1.896551724137931,1.6206896551724137,1.3448275862068966,0.8275862068965517,0.3793103448275862,0.1724137931034483,0.1724137931034483,0.2413793103448276,0.034482758620689655,0.0,1
