book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,grade_level
Akong Higala,95,22,0.0,4.757894736842105,4.318181818181818,2.1578947368421053,0,1
Alibangbang ug Kalaw,40,7,0.0,5.4,5.714285714285714,2.05,2,1
Amigo Kong Piso,52,13,0.0,4.75,4.0,2.1538461538461537,0,1
An Akon Pamilya,70,12,0.0,4.8428571428571425,5.833333333333333,2.142857142857143,1,1
Ang  Paypay ni Pipay,29,6,0.0,4.620689655172414,4.833333333333333,1.9310344827586208,0,1
Ang Adlaw,83,22,1.0434782608695652,5.168674698795181,3.772727272727273,2.3132530120481927,3,1
Ang Akong Alkansiya,28,6,0.0,4.821428571428571,4.666666666666667,2.107142857142857,0,1
Ang Akong Dulaan,56,10,0.0,4.589285714285714,5.6,2.0535714285714284,0,1
Ang Akong Higala,49,5,1.3333333333333333,5.163265306122449,9.8,2.2244897959183674,2,1
Ang Akong Suod Nga Amigo,83,13,0.0,4.409638554216867,6.384615384615385,2.0120481927710845,0,1
Ang Among Pamilya,116,23,1.1304347826086956,5.008620689655173,5.043478260869565,2.1206896551724137,2,1
Ang Anak ug Amahan,82,14,0.0,4.817073170731708,5.857142857142857,2.158536585365854,1,1
Ang Baka,112,11,1.0909090909090908,4.3125,10.181818181818182,1.8303571428571428,0,1
Ang Baki,104,12,0.0,4.903846153846154,8.666666666666666,2.0865384615384617,4,1
Ang Bangaw,49,9,0.0,5.081632653061225,5.444444444444445,2.061224489795918,0,1
Ang Bao,32,7,0.0,4.6875,4.571428571428571,2.21875,0,1
Ang Bato,31,8,0.0,5.064516129032258,3.875,2.3548387096774195,0,1
Ang Birthday ni Jennilyn,54,9,1.2,5.444444444444445,6.0,2.2037037037037037,3,1
Ang Bitoon,67,9,1.3333333333333333,4.432835820895522,7.444444444444445,2.044776119402985,0,1
Ang Bola ni Mila,47,7,0.0,4.446808510638298,6.714285714285714,2.0,1,1
Ang Buhok,34,7,1.125,4.0588235294117645,4.857142857142857,1.8529411764705883,0,1
Ang Bulak nga Santan,40,7,1.25,4.25,5.714285714285714,1.75,0,1
Ang Celfon ni Niña,60,10,0.0,4.166666666666667,6.0,1.9,0,1
Ang Dagat,32,6,0.0,4.8125,5.333333333333333,2.125,0,1
Ang Dala ni Almaug Mama,31,6,0.0,4.290322580645161,5.166666666666667,2.096774193548387,0,1
Ang Dalunggan,79,18,1.0526315789473684,5.518987341772152,4.388888888888889,2.2911392405063293,0,1
Ang French Fries,60,11,0.0,4.766666666666667,5.454545454545454,2.033333333333333,0,1
Ang Gasa ni Mama,43,8,0.0,4.186046511627907,5.375,1.7906976744186047,0,1
Ang Gasa,29,6,0.0,4.448275862068965,4.833333333333333,1.896551724137931,0,1
Ang Gatas sa Lata,31,6,0.0,4.161290322580645,5.166666666666667,1.8064516129032258,0,1
