book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,tagalog_bigram_sim,bikol_bigram_sim,cebuano_bigram_sim,tagalog_trigram_sim,bikol_trigram_sim,cebuano_trigam_sim,grade_level
Ako Si Kaliwa Ako Si Kanan.txt,572,102,1.273809524,4.72027972,5.607843137,2.057692308,12,0.382867133,2.057692308,1.821678322,1.456293706,0.854895105,0.326923077,0.265734266,0.117132867,0.185314685,0.015734266,0,0.79459203,0.767077799,0.756166983,0.379672131,0.287868852,0.31147541,1
Ang Halimaw ng mga Kulay_Fil_Eng.txt,282,32,0,4.723404255,8.8125,1.982269504,8,0.418439716,1.982269504,1.663120567,1.578014184,0.872340426,0.322695035,0.258865248,0.109929078,0.191489362,0.010638298,0,0.804431599,0.758188825,0.798651252,0.348404255,0.251329787,0.29787234,1
Ang Mabait na Kalabaw.txt,86,13,0,4.860465116,6.615384615,2.162790698,1,0.220930233,2.162790698,1.755813953,1.73255814,0.88372093,0.197674419,0.081395349,0.034883721,0.046511628,0,0,0.876132931,0.909365559,0.84592145,0.352459016,0.323770492,0.336065574,1
Ang Pulang Laso.fil.txt,182,29,0,4.604395604,6.275862069,1.994505495,3,0.395604396,1.994505495,1.758241758,1.412087912,0.879120879,0.373626374,0.269230769,0.098901099,0.142857143,0.032967033,0,0.833078101,0.784073507,0.803981623,0.38034188,0.284188034,0.318376068,1
Araw Sa Palengke.txt,250,50,0,4.804,5,2.012,7,0.42,2.012,1.764,1.528,0.876,0.372,0.284,0.108,0.204,0.02,0,0.805496829,0.757928118,0.761099366,0.354046243,0.26734104,0.304913295,1
Bahay-Bahayan.fil.txt,84,11,0,4.738095238,7.636363636,2.023809524,2,0.297619048,2.023809524,1.821428571,1.619047619,0.964285714,0.238095238,0.19047619,0.107142857,0.142857143,0.023809524,0,0.846153846,0.836538462,0.842948718,0.314159292,0.274336283,0.283185841,1
Brave Little Baby Dan.txt,393,152,0,4.819338422,2.585526316,2.055979644,12,0.450381679,2.055979644,1.633587786,1.470737913,0.778625954,0.272264631,0.211195929,0.083969466,0.262086514,0.005089059,0,0.623828648,0.641231593,0.598393574,0.277372263,0.23540146,0.275547445,1
But That Wont Make Me Sleep!.txt,348,45,0,4.557471264,7.733333333,1.933908046,9,0.336206897,1.933908046,1.772988506,1.396551724,0.850574713,0.281609195,0.229885057,0.100574713,0.158045977,0.025862069,0.005747126,0.768233387,0.759319287,0.75445705,0.359003398,0.277463194,0.319365798,1
But That Wont Wake Me Up.txt,353,47,0,4.555240793,7.510638298,1.960339943,11,0.376770538,1.960339943,1.648725212,1.379603399,0.776203966,0.317280453,0.240793201,0.09631728,0.152974504,0.025495751,0,0.759584665,0.762779553,0.735623003,0.363433668,0.284280936,0.279821628,1
Ciriaco.fil.txt,150,18,0,5.166666667,8.333333333,2.173333333,5,0.506666667,2.173333333,1.846666667,1.686666667,0.973333333,0.426666667,0.293333333,0.12,0.226666667,0.026666667,0,0.725521669,0.714285714,0.704654896,0.296610169,0.228813559,0.281779661,1
Gusto ko ng Buwan at mga Bituin.fil.txt,108,15,1.5,5.12962963,7.2,2.037037037,3,0.601851852,2.037037037,1.805555556,1.657407407,0.981481481,0.509259259,0.388888889,0.231481481,0.287037037,0.055555556,0,0.720720721,0.682432432,0.702702703,0.296407186,0.24251497,0.248502994,1
