book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,grade_level
Ako Si Kaliwa Ako Si Kanan.txt,572,102,1.2738095238095237,4.72027972027972,5.607843137254902,2.0576923076923075,12,1
Ang Halimaw ng mga Kulay_Fil_Eng.txt,282,32,0.0,4.723404255319149,8.8125,1.9822695035460993,8,1
Ang Mabait na Kalabaw.txt,86,13,0.0,4.8604651162790695,6.615384615384615,2.1627906976744184,1,1
Ang Pulang Laso.fil.txt,182,29,0.0,4.604395604395604,6.275862068965517,1.9945054945054945,3,1
Araw Sa Palengke.txt,250,50,0.0,4.804,5.0,2.012,7,1
Bahay-Bahayan.fil.txt,84,11,0.0,4.738095238095238,7.636363636363637,2.0238095238095237,2,1
Brave Little Baby Dan.txt,393,152,0.0,4.819338422391858,2.585526315789474,2.0559796437659035,12,1
But That Wont Make Me Sleep!.txt,348,45,0.0,4.557471264367816,7.733333333333333,1.9339080459770115,9,1
But That Wont Wake Me Up.txt,353,47,0.0,4.555240793201133,7.51063829787234,1.9603399433427762,11,1
Ciriaco.fil.txt,150,18,0.0,5.166666666666667,8.333333333333334,2.1733333333333333,5,1
Gusto ko ng Buwan at mga Bituin.fil.txt,108,15,1.5,5.12962962962963,7.2,2.037037037037037,3,1
Haluhalo Espesyal.txt,566,57,1.6304347826086956,4.747349823321555,9.929824561403509,1.9876325088339222,12,1
Hating Kapatid.txt,672,88,1.5128205128205128,4.589285714285714,7.636363636363637,1.9538690476190477,7,1
Isang Mayang Uhaw.txt,162,18,1.0555555555555556,4.271604938271605,9.0,1.9135802469135803,1,1
Isang Taon na si Beth.txt,80,17,0.0,4.6875,4.705882352941177,1.9625,0,1
Kain Kumain Kinain.fil.txt,58,10,1.1818181818181819,5.310344827586207,5.8,2.103448275862069,1,1
Kayo ba ang Nanay Ko.txt,188,39,1.3103448275862069,4.031914893617022,4.82051282051282,1.7606382978723405,0,1
Kung Dalawa Kami.fil.txt,112,14,1.6,4.669642857142857,8.0,1.9732142857142858,3,1
Limang Munting Isda.fil.txt,68,11,1.0833333333333333,5.294117647058823,6.181818181818182,2.014705882352941,1,1
Madyik Banig.fil.txt,86,16,0.0,5.011627906976744,5.375,2.0930232558139537,0,1
Mag-ehersisyo Tayo!.fil.txt,90,15,3.2666666666666666,5.066666666666666,6.0,2.2888888888888888,6,1
Marios Special Day.txt,236,34,1.2307692307692308,4.567796610169491,6.9411764705882355,1.9957627118644068,3,1
Matandang Matabang Pusa.fil.txt,81,5,2.5,5.469135802469136,16.2,2.234567901234568,0,1
Naaay! Taaay!.txt,192,28,9.0,4.6875,6.857142857142857,1.9635416666666667,4,1
Papas House Mamas House.txt,574,66,1.8269230769230769,4.496515679442509,8.696969696969697,1.9233449477351916,12,1
